k,WSSSE,Silhouette
2,59849.45040611796,0.25859971087623773
3,55196.27374111944,0.20541573347006564
4,51882.224293370855,0.19008493861482945
5,48222.29313129716,0.20669028425871938
6,45711.01164295969,0.19862039721210878
7,43817.13949317117,0.1993816515114692
8,42032.14536821038,0.19799984068041243
